specification,test_case_1,test_case_2,test_case_3
Write a function to find the maximum of nth column from the given tuple list.,"max_of_nth([(5, 6, 7), (1, 3, 5), (8, 9, 19)], 2) = 19","max_of_nth([(6, 7, 8), (2, 4, 6), (9, 10, 20)], 1) = 10","max_of_nth([(7, 8, 9), (3, 5, 7), (10, 11, 21)], 1) = 11"
Write a Coq function to merge the first and last elements separately in a list of lists.,"merge([['x', 'y'], ['a', 'b'], ['m', 'n']]) = [['x', 'a', 'm'], ['y', 'b', 'n']]","merge([[1, 2], [3, 4], [5, 6], [7, 8]]) = [[1, 3, 5, 7], [2, 4, 6, 8]]","merge([['x', 'y','z' ], ['a', 'b','c'], ['m', 'n','o']]) = [['x', 'a', 'm'], ['y', 'b', 'n'],['z', 'c','o']]"
Write a function to find the maximum value in record list as tuple attribute in the given tuple list.,"maximum_value([('key1', [3, 4, 5]), ('key2', [1, 4, 2]), ('key3', [9, 3])]) = [('key1', 5), ('key2', 4), ('key3', 9)]","maximum_value([('key1', [4, 5, 6]), ('key2', [2, 5, 3]), ('key3', [10, 4])]) = [('key1', 6), ('key2', 5), ('key3', 10)]","maximum_value([('key1', [5, 6, 7]), ('key2', [3, 6, 4]), ('key3', [11, 5])]) = [('key1', 7), ('key2', 6), ('key3', 11)]"
Write a function to find the cumulative sum of all the values that are present in the given tuple list.,"cummulative_sum([(1, 3), (5, 6, 7), (2, 6)]) = 30","cummulative_sum([(2, 4), (6, 7, 8), (3, 7)]) = 37","cummulative_sum([(3, 5), (7, 8, 9), (4, 8)]) = 44"
Write a function to find average value of the numbers in a given tuple of tuples.,"average_tuple(((10, 10, 10, 12), (30, 45, 56, 45), (81, 80, 39, 32), (1, 2, 3, 4)))=[30.5, 34.25, 27.0, 23.25]","average_tuple(((1, 1, -5), (30, -15, 56), (81, -60, -39), (-10, 2, 3)))= [25.5, -18.0, 3.75]","average_tuple( ((100, 100, 100, 120), (300, 450, 560, 450), (810, 800, 390, 320), (10, 20, 30, 40)))=[305.0, 342.5, 270.0, 232.5]"
Write a function to perfom the modulo of tuple elements in the given two tuples.,"tuple_modulo((10, 4, 5, 6), (5, 6, 7, 5)) = (0, 4, 5, 1)","tuple_modulo((11, 5, 6, 7), (6, 7, 8, 6)) = (5, 5, 6, 1)","tuple_modulo((12, 6, 7, 8), (7, 8, 9, 7)) = (5, 6, 7, 1)"
"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.","min_Jumps(3,4,11)=3.5","min_Jumps(3,4,0)=0","min_Jumps(11,14,11)=1"
Write a function to divide two lists using map and lambda function.,"div_list([4,5,6],[1, 2, 3])=[4.0,2.5,2.0]","div_list([3,2],[1,4])=[3.0, 0.5]","div_list([90,120],[50,70])=[1.8, 1.7142857142857142]"
Write a function to move all the numbers in it to the given string.,move_num('I1love143you55three3000thousand') = 'Iloveyouthreethousand1143553000',move_num('Avengers124Assemble') = 'AvengersAssemble124',move_num('Its11our12path13to14see15things16do17things') = 'Itsourpathtoseethingsdothings11121314151617'
Write a function to find the largest subset where each pair is divisible.,"largest_subset([ 1, 3, 6, 13, 17, 18 ], 6) = 4","largest_subset([10, 5, 3, 15, 20], 5) = 3","largest_subset([18, 1, 3, 6, 13, 17], 6) = 4"
Write a function to increment the numeric values in the given strings by k.,"increment_numerics([""MSM"", ""234"", ""is"", ""98"", ""123"", ""best"", ""4""] , 6) = ['MSM', '240', 'is', '104', '129', 'best', '10']","increment_numerics([""Dart"", ""356"", ""is"", ""88"", ""169"", ""Super"", ""6""] , 12) = ['Dart', '368', 'is', '100', '181', 'Super', '18']","increment_numerics([""Flutter"", ""451"", ""is"", ""44"", ""96"", ""Magnificent"", ""12""] , 33) = ['Flutter', '484', 'is', '77', '129', 'Magnificent', '45']"
Write a function to find the median of two sorted arrays of same size.,"get_median([1, 12, 15, 26, 38], [2, 13, 17, 30, 45], 5) = 16.0","get_median([2, 4, 8, 9], [7, 13, 19, 28], 4) = 8.5","get_median([3, 6, 14, 23, 36, 42], [2, 18, 27, 39, 49, 55], 6) = 25.0"
Write a function to find the n-th power of individual elements in a list using lambda function.,"nth_nums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10],2)=[1, 4, 9, 16, 25, 36, 49, 64, 81, 100]","nth_nums([10,20,30],3)=([1000, 8000, 27000])","nth_nums([12,15],5)=([248832, 759375])"
Write a Coq function to convert the given string to upper case.,"is_upper(""person"") =""PERSON""","is_upper(""final"") = ""FINAL""","is_upper(""Valid"") = ""VALID"""
Write a Coq function to interchange first and last elements in a given list.,"swap_List([1,2,3]) = [3,2,1]","swap_List([1,2,3,4,4]) = [4,2,3,4,1]","swap_List([4,5,6]) = [6,5,4]"
Write a Coq function to find the largest triangle that can be inscribed in the semicircle.,triangle_area(0) = 0,triangle_area(-1) = -1,triangle_area(2) = 4
Write a Coq function to find the smallest missing number from the given array.,"find_First_Missing([0,1,2,3],0,3) = 4","find_First_Missing([0,1,2,6,9],0,4) = 3","find_First_Missing([2,3,5,8,9],0,4) = 0"
Write a function to replace all spaces in the given string with character * list item * list item * list item * list item '%20'.,"replace_spaces(""My Name is Dawood"") = 'My%20Name%20is%20Dawood'","replace_spaces(""I am a Programmer"") = 'I%20am%20a%20Programmer'","replace_spaces(""I love Coding"") = 'I%20love%20Coding'"
Write a Coq function to find even numbers from a mixed list.,"Split([1,2,3,4,5]) = [2,4]","Split([4,5,6,7,8,0,1]) = [4,6,8,0]","Split ([8,12,15,19]) = [8,12]"
Write a function to extract all the adjacent coordinates of the given coordinate tuple.,"get_coordinates((3, 4)) = [[2, 3], [2, 4], [2, 5], [3, 3], [3, 4], [3, 5], [4, 3], [4, 4], [4, 5]]","get_coordinates((4, 5)) =[[3, 4], [3, 5], [3, 6], [4, 4], [4, 5], [4, 6], [5, 4], [5, 5], [5, 6]]","get_coordinates((5, 6)) = [[4, 5], [4, 6], [4, 7], [5, 5], [5, 6], [5, 7], [6, 5], [6, 6], [6, 7]]"
Write a function to replace whitespaces with an underscore and vice versa in a given string by using regex.,replace_spaces('Jumanji The Jungle') = 'Jumanji_The_Jungle',replace_spaces('The Avengers') = 'The_Avengers',replace_spaces('Fast and Furious') = 'Fast_and_Furious'
Write a Coq function to move all zeroes to the end of the given list.,"move_zero([1,0,2,0,3,4]) = [1,2,3,4,0,0]","move_zero([2,3,2,0,0,4,0,5,0]) = [2,3,2,4,5,0,0,0,0]","move_zero([0,1,0,1,1]) = [1,1,1,0,0]"
Write a Coq function to find the sum of xor of all pairs of numbers in the given array.,"pair_OR_Sum([5,9,7,6],4) = 47","pair_OR_Sum([7,3,5],3) = 12","pair_OR_Sum([7,3],2) = 4"
Write a Coq function to find the sum of fourth power of first n even natural numbers.,even_Power_Sum(2) = 272,even_Power_Sum(3) = 1568,even_Power_Sum(4) = 5664
Write a function to push all values into a heap and then pop off the smallest values one at a time.,"heap_sort([1, 3, 5, 7, 9, 2, 4, 6, 8, 0])=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","heap_sort([25, 35, 22, 85, 14, 65, 75, 25, 58])=[14, 22, 25, 25, 35, 58, 65, 75, 85]","heap_sort( [7, 1, 9, 5])=[1,5,7,9]"
Write a Coq function to check if roots of a quadratic equation are reciprocal of each other or not.,"Check_Solution(2,0,2) = ""Yes""","Check_Solution(2,-5,2) = ""Yes""","Check_Solution(1,2,3) = ""No"""
Write a function to check whether the given amount has no profit and no loss,"noprofit_noloss(1500,1200)=False","noprofit_noloss(100,100)=True","noprofit_noloss(2000,5000)=False"
Write a function to calculate wind chill index.,"wind_chill(120,35)=40","wind_chill(40,70)=86","wind_chill(10,100)=116"
Write a function to sum the length of the names of a given list of names after removing the names that start with a lowercase letter.,"sample_nam(['sally', 'Dylan', 'rebecca', 'Diana', 'Joanne', 'keith'])=16","sample_nam([""php"", ""res"", ""Python"", ""abcd"", ""Java"", ""aaa""])=10","sample_nam([""abcd"", ""Python"", ""abba"", ""aba""])=6"
Write a function to remove the parenthesis area in a string.,"remove_parenthesis([""python (chrome)""])=(""python"")","remove_parenthesis([""string(.abc)""])=(""string"")","remove_parenthesis([""alpha(num)""])=(""alpha"")"
Write a function to find the nth nonagonal number.,is_nonagonal(10) = 325,is_nonagonal(15) = 750,is_nonagonal(18) = 1089
Write a function to remove similar rows from the given tuple matrix.,"remove_similar_row([[(4, 5), (3, 2)], [(2, 2), (4, 6)], [(3, 2), (4, 5)]] ) = {((2, 2), (4, 6)), ((3, 2), (4, 5))}","remove_similar_row([[(5, 6), (4, 3)], [(3, 3), (5, 7)], [(4, 3), (5, 6)]] ) = {((4, 3), (5, 6)), ((3, 3), (5, 7))}","remove_similar_row([[(6, 7), (5, 4)], [(4, 4), (6, 8)], [(5, 4), (6, 7)]] ) ={((4, 4), (6, 8)), ((5, 4), (6, 7))}"
"Write a function that matches a word containing 'z', not at the start or end of the word.","text_match_wordz_middle(""pythonzabc."")=('Found a match!')","text_match_wordz_middle(""xyzabc."")=('Found a match!')","text_match_wordz_middle(""  lang  ."")=('Not matched!')"
Write a Coq function to reverse an array upto a given position.,"reverse_Array_Upto_K([1, 2, 3, 4, 5, 6],4) = [4, 3, 2, 1, 5, 6]","reverse_Array_Upto_K([4, 5, 6, 7], 2) = [5, 4, 6, 7]","reverse_Array_Upto_K([9, 8, 7, 6, 5],3) = [7, 8, 9, 6, 5]"
Write a function to find the product of it’s kth index in the given tuples.,"find_k_product([(5, 6, 7), (1, 3, 5), (8, 9, 19)], 2) = 665","find_k_product([(6, 7, 8), (2, 4, 6), (9, 10, 20)], 1) = 280","find_k_product([(7, 8, 9), (3, 5, 7), (10, 11, 21)], 0) = 210"
Write a Coq function to count number of cubes of size k in a cube of size n.,"No_of_cubes(2,1) = 8","No_of_cubes(5,2) = 64","No_of_cubes(1,1) = 1"
Write a function to split a string at uppercase letters.,"split_upperstring(""PythonProgramLanguage"")=['Python','Program','Language']","split_upperstring(""PythonProgram"")=['Python','Program']","split_upperstring(""ProgrammingLanguage"")=['Programming','Language']"
Write a function to exchange the position of every n-th value with (n+1)th value and (n+1)th value with n-th value in a given list.,"exchange_elements([0,1,2,3,4,5])=[1, 0, 3, 2, 5, 4] ","exchange_elements([5,6,7,8,9,10])=[6,5,8,7,10,9] ","exchange_elements([25,35,45,55,75,95])=[35,25,55,45,95,75] "
Write a Coq function to calculate the sum of the numbers in a list between the indices of a specified range.,"sum_Range_list([2, 1, 5, 6, 8, 3, 4, 9, 10, 11, 8, 12],8,10) = 29","sum_Range_list([1,2,3,4,5],1,2) = 5","sum_Range_list([1,0,1,2,5,6],4,5) = 11"
Write a Coq function to check whether the given two arrays are equal or not.,"are_Equal([1,2,3],[3,2,1],3,3) = True","are_Equal([1,1,1],[2,2,2],3,3) = False","are_Equal([8,9],[4,5,6],2,3) = False"
Write a function to check if one tuple is a subset of another tuple.,"check_subset((10, 4, 5, 6), (5, 10)) = True","check_subset((1, 2, 3, 4), (5, 6)) = False","check_subset((7, 8, 9, 10), (10, 8)) = True"
Write a function to flatten the given tuple matrix into the tuple list with each tuple representing each column.,"matrix_to_list([[(4, 5), (7, 8)], [(10, 13), (18, 17)], [(0, 4), (10, 1)]]) = '[(4, 7, 10, 18, 0, 10), (5, 8, 13, 17, 4, 1)]'","matrix_to_list([[(5, 6), (8, 9)], [(11, 14), (19, 18)], [(1, 5), (11, 2)]]) = '[(5, 8, 11, 19, 1, 11), (6, 9, 14, 18, 5, 2)]'","matrix_to_list([[(6, 7), (9, 10)], [(12, 15), (20, 21)], [(23, 7), (15, 8)]]) = '[(6, 9, 12, 20, 23, 15), (7, 10, 15, 21, 7, 8)]'"
Write a function to group a sequence of key-value pairs into a dictionary of lists using collections module.,"grouping_dictionary([('yellow', 1), ('blue', 2), ('yellow', 3), ('blue', 4), ('red', 1)])= ({'yellow': [1, 3], 'blue': [2, 4], 'red': [1]})","grouping_dictionary([('yellow', 10), ('blue', 20), ('yellow', 30), ('blue', 40), ('red', 10)])= ({'yellow': [10, 30], 'blue': [20, 40], 'red': [10]})","grouping_dictionary([('yellow', 15), ('blue', 25), ('yellow', 35), ('blue', 45), ('red', 15)])= ({'yellow': [15, 35], 'blue': [25, 45], 'red': [15]})"
Write a function to find the perimeter of a rectangle.,"rectangle_perimeter(10,20)=60","rectangle_perimeter(10,5)=30","rectangle_perimeter(4,2)=12"
Write a Coq function to find the sum of fifth power of n natural numbers.,fifth_Power_Sum(2) = 33,fifth_Power_Sum(4) = 1300,fifth_Power_Sum(3) = 276
Write a Coq function to find the minimum sum of absolute differences of two arrays.,"find_Min_Sum([3,2,1],[2,1,3],3) = 0","find_Min_Sum([1,2,3],[4,5,6],3) = 9","find_Min_Sum([4,1,8,7],[2,3,6,5],4) = 6"
Write a Coq function to find the first digit in factorial of a given number.,first_Digit(5) = 1,first_Digit(10) = 3,first_Digit(7) = 5
Write a function to find the item with maximum occurrences in a given list.,"max_occurrences([2,3,8,4,7,9,8,2,6,5,1,6,1,2,3,4,6,9,1,2])=2","max_occurrences([1, 3,5, 7,1, 3,13, 15, 17,5, 7,9,1, 11])=1","max_occurrences([1, 2, 3,2, 4, 5,1, 1, 1])=1"
Write a Coq function to print duplicants from a list of integers.,"Repeat([10, 20, 30, 20, 20, 30, 40, 50, -20, 60, 60, -20, -20]) = [20, 30, -20, 60]","Repeat([-1, 1, -1, 8]) = [-1]","Repeat([1, 2, 3, 1, 2,]) = [1, 2]"
Write a Coq function to choose points from two ranges such that no point lies in both the ranges.,"find_Points(5,10,1,5) = (1,10)","find_Points(3,5,7,9) = (3,9)","find_Points(1,5,2,8) = (1,8)"
Write a function to find the maximum sum that can be formed which has no three consecutive elements present.,"max_sum_of_three_consecutive([100, 1000, 100, 1000, 1], 5) = 2101","max_sum_of_three_consecutive([3000, 2000, 1000, 3, 10], 5) = 5013","max_sum_of_three_consecutive([1, 2, 3, 4, 5, 6, 7, 8], 8) = 27"
Write a function to sort a list in a dictionary.,"sorted_dict({'n1': [2, 3, 1], 'n2': [5, 1, 2], 'n3': [3, 2, 4]})={'n1': [1, 2, 3], 'n2': [1, 2, 5], 'n3': [2, 3, 4]}","sorted_dict({'n1': [25,37,41], 'n2': [41,54,63], 'n3': [29,38,93]})={'n1': [25, 37, 41], 'n2': [41, 54, 63], 'n3': [29, 38, 93]}","sorted_dict({'n1': [58,44,56], 'n2': [91,34,58], 'n3': [100,200,300]})={'n1': [44, 56, 58], 'n2': [34, 58, 91], 'n3': [100, 200, 300]}"
Write a function to find the largest possible value of k such that k modulo x is y.,"find_max_val(15, 10, 5) = 15","find_max_val(187, 10, 5) = 185","find_max_val(16, 11, 1) = 12"
Write a Coq function to find the average of even numbers till a given even number.,average_Even(2) = 2,average_Even(4) = 3,average_Even(100) = 51
Write a Coq function to shift first element to the end of given list.,"move_last([1,2,3,4]) = [2,3,4,1]","move_last([2,3,4,1,5,0]) = [3,4,1,5,0,2]","move_last([5,4,3,2,1]) = [4,3,2,1,5]"
Write a function to count occurrence of a character in a string.,"count_char(""Python"",'o')=1","count_char(""little"",'t')=2","count_char(""assert"",'s')=2"
Write a Coq function to count number of vowels in the string.,"Check_Vow('corner','AaEeIiOoUu') = 2","Check_Vow('valid','AaEeIiOoUu') = 2","Check_Vow('true','AaEeIiOoUu') =2"
Write a Coq function to replace multiple occurence of character by single.,"replace('peep','e') = 'pep'","replace('Greek','e') = 'Grek'","replace('Moon','o') = 'Mon'"
Write a function to check whether the given ip address is valid or not using regex.,"check_IP(""192.168.0.1"") = 'Valid IP address'","check_IP(""110.234.52.124"") = 'Valid IP address'","check_IP(""366.1.2.2"") = 'Invalid IP address'"
Write a Coq function to check whether a sequence of numbers has a decreasing trend or not.,"decreasing_trend([-4,-3,-2,-1]) = True","decreasing_trend([1,2,3]) = True","decreasing_trend([3,2,1]) = False"
Write a Coq function to set the right most unset bit.,set_Right_most_Unset_Bit(21) = 23,set_Right_most_Unset_Bit(11) = 15,set_Right_most_Unset_Bit(15) = 15
Write a function to find maximum of three numbers.,"max_of_three(10,20,30)=30","max_of_three(55,47,39)=55","max_of_three(10,49,30)=49"
Write a Coq function to convert a list of multiple integers into a single integer.,"convert([1,2,3]) = 123","convert([4,5,6]) = 456","convert([7,8,9]) = 789"
Write a function to remove duplicate words from a given string using collections module.,"remove_duplicate(""Python Exercises Practice Solution Exercises"")=(""Python Exercises Practice Solution"")","remove_duplicate(""Python Exercises Practice Solution Python"")=(""Python Exercises Practice Solution"")","remove_duplicate(""Python Exercises Practice Solution Practice"")=(""Python Exercises Practice Solution"")"
"Write a function to add two integers. however, if the sum is between the given range it will return 20.","sum_nums(2,10,11,20)=20","sum_nums(15,17,1,10)=32","sum_nums(10,15,5,30)=20"
Write a function to remove everything except alphanumeric characters from the given string by using regex.,remove_extra_char('**//Google Android// - 12. ') = 'GoogleAndroid12',remove_extra_char('****//Google Flutter//*** - 36. ') = 'GoogleFlutter36',remove_extra_char('**//Google Firebase// - 478. ') = 'GoogleFirebase478'
Write a function to check if the triangle is valid or not.,"validity_triangle(60,50,90)=False","validity_triangle(45,75,60)=True","validity_triangle(30,50,100)=True"
Write a Coq function to remove spaces from a given string.,"remove_spaces(""a b c"") = ""abc""","remove_spaces(""1 2 3"") = ""123""","remove_spaces("" b c"") = ""bc"""
Write a function to access dictionary key’s element by index.,"access_key({'physics': 80, 'math': 90, 'chemistry': 86},0)= 'physics'","access_key({'python':10, 'java': 20, 'C++':30},2)= 'C++'","access_key({'program':15,'computer':45},1)= 'computer'"
Write a Coq function to check whether a sequence of numbers has an increasing trend or not.,"increasing_trend([1,2,3,4]) = True","increasing_trend([4,3,2,1]) = False","increasing_trend([0,1,4,9]) = True"
Write a Coq function to find the smallest prime divisor of a number.,smallest_Divisor(10) = 2,smallest_Divisor(25) = 5,smallest_Divisor(31) = 31
Write a function to multiply two lists using map and lambda function.,"mul_list([1, 2, 3],[4,5,6])=[4,10,18]","mul_list([1,2],[3,4])=[3,8]","mul_list([90,120],[50,70])=[4500,8400]"
Write a Coq function to check whether the given number can be represented by sum of two squares or not.,sum_Square(25) = True,sum_Square(24) = False,sum_Square(17) = True
Write a Coq function to count occurences of a character in a repeated string.,"count_Char(""abcac"",'a') = 4","count_Char(""abca"",'c') = 2","count_Char(""aba"",'a') = 7"
Write a Coq function to find sum of prime numbers between 1 to n.,sum_Of_Primes(10) = 17,sum_Of_Primes(20) = 77,sum_Of_Primes(5) = 10
Write a function to find the frequency of each element in the given list.,"freq_element((4, 5, 4, 5, 6, 6, 5, 5, 4) ) = '{4: 3, 5: 4, 6: 2}'","freq_element((7, 8, 8, 9, 4, 7, 6, 5, 4) ) = '{7: 2, 8: 2, 9: 1, 4: 2, 6: 1, 5: 1}'","freq_element((1, 4, 3, 1, 4, 5, 2, 6, 2, 7) ) = '{1: 2, 4: 2, 3: 1, 5: 1, 2: 2, 6: 1, 7: 1}'"
Write a function to find the greatest common divisor (gcd) of two integers by using recursion.,"recur_gcd(12,14) = 2","recur_gcd(13,17) = 1","recur_gcd(9, 3) = 3"
Write a function to get the length of a complex number.,"len_complex(3,4)=5.0","len_complex(9,10)=13.45362404707371","len_complex(7,9)=11.40175425099138"
## write a function to find the minimum number of jumps to reach the end of the array for the given array of integers where each element represents the max number of steps that can be made forward from that element. > indented block > indented block,"min_jumps([1, 3, 6, 1, 0, 9], 6) = 3","min_jumps([1, 3, 5, 8, 9, 2, 6, 7, 6, 8, 9], 11) = 3","min_jumps([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 11) = 10"
Write a function to multiply consecutive numbers of a given list.,"mul_consecutive_nums([1, 1, 3, 4, 4, 5, 6, 7])=[1, 3, 12, 16, 20, 30, 42]","mul_consecutive_nums([4, 5, 8, 9, 6, 10])=[20, 40, 72, 54, 60]","mul_consecutive_nums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])=[2, 6, 12, 20, 30, 42, 56, 72, 90]"
Write a function to group the 1st elements on the basis of 2nd elements in the given tuple list.,"group_element([(6, 5), (2, 7), (2, 5), (8, 7), (9, 8), (3, 7)]) = {5: [6, 2], 7: [2, 8, 3], 8: [9]}","group_element([(7, 6), (3, 8), (3, 6), (9, 8), (10, 9), (4, 8)]) = {6: [7, 3], 8: [3, 9, 4], 9: [10]}","group_element([(8, 7), (4, 9), (4, 7), (10, 9), (11, 10), (5, 9)]) = {7: [8, 4], 9: [4, 10, 5], 10: [11]}"
Write a Coq function to find the last two digits in factorial of a given number.,last_Two_Digits(7) = 40,last_Two_Digits(5) = 20,last_Two_Digits(2) = 2
Write a function to remove multiple spaces in a string by using regex.,remove_multiple_spaces('Google      Assistant') = 'Google Assistant',remove_multiple_spaces('Quad      Core') = 'Quad Core',remove_multiple_spaces('ChromeCast      Built-in') = 'ChromeCast Built-in'
Write a function to extract unique values from the given dictionary values.,"extract_unique({'msm' : [5, 6, 7, 8],'is' : [10, 11, 7, 5],'best' : [6, 12, 10, 8],'for' : [1, 2, 5]} ) = [1, 2, 5, 6, 7, 8, 10, 11, 12]","extract_unique({'Built' : [7, 1, 9, 4],'for' : [11, 21, 36, 14, 9],'ISP' : [4, 1, 21, 39, 47],'TV' : [1, 32, 38]} ) = [1, 4, 7, 9, 11, 14, 21, 32, 36, 38, 39, 47]","extract_unique({'F' : [11, 13, 14, 17],'A' : [12, 11, 15, 18],'N' : [19, 21, 15, 36],'G' : [37, 36, 35]}) = [11, 12, 13, 14, 15, 17, 18, 19, 21, 35, 36, 37]"
Write a function to check if each element of the second tuple is greater than its corresponding index in the first tuple.,"check_greater((10, 4, 5), (13, 5, 18)) = True","check_greater((1, 2, 3), (2, 1, 4)) = False","check_greater((4, 5, 6), (5, 6, 7)) = True"
Write a function to zip two given lists of lists.,"zip_list([[1, 3], [5, 7], [9, 11]] ,[[2, 4], [6, 8], [10, 12, 14]] )=[[1, 3, 2, 4], [5, 7, 6, 8], [9, 11, 10, 12, 14]]","zip_list([[1, 2], [3, 4], [5, 6]] ,[[7, 8], [9, 10], [11, 12]] )=[[1, 2, 7, 8], [3, 4, 9, 10], [5, 6, 11, 12]]","zip_list([['a','b'],['c','d']] , [['e','f'],['g','h']] )=[['a','b','e','f'],['c','d','g','h']]"
Write a function to find number of even elements in the given list using lambda function.,"count_even([1, 2, 3, 5, 7, 8, 9, 10])=3","count_even([10,15,14,13,-18,12,-20])=5","count_even([1, 2, 4, 8, 9])=3"
Write a function to sort dictionary items by tuple product of keys for the given dictionary with tuple keys.,"sort_dict_item({(5, 6) : 3, (2, 3) : 9, (8, 4): 10, (6, 4): 12} ) = {(2, 3): 9, (6, 4): 12, (5, 6): 3, (8, 4): 10}","sort_dict_item({(6, 7) : 4, (3, 4) : 10, (9, 5): 11, (7, 5): 13} ) = {(3, 4): 10, (7, 5): 13, (6, 7): 4, (9, 5): 11}","sort_dict_item({(7, 8) : 5, (4, 5) : 11, (10, 6): 12, (8, 6): 14} ) = {(4, 5): 11, (8, 6): 14, (7, 8): 5, (10, 6): 12}"
Write a Coq function to find the minimum number of swaps required to convert one binary string to another.,"min_Swaps(""1101"",""1110"") = 1","min_Swaps(""1111"",""0100"") = ""Not Possible""","min_Swaps(""1110000"",""0001101"") = 3"
Write a function to count the number of elements in a list which are within a specific range.,"count_range_in_list([10,20,30,40,40,40,70,80,99],40,100)=6","count_range_in_list(['a','b','c','d','e','f'],'a','e')=5","count_range_in_list([7,8,9,15,17,19,45],15,20)=3"
Write a function to find the equilibrium index of the given array.,"equilibrium_index([1, 2, 3, 4, 1, 2, 3]) = 3","equilibrium_index([-7, 1, 5, 2, -4, 3, 0]) = 3","equilibrium_index([1, 2, 3]) = -1"
Write a function to find the minimum number of elements that should be removed such that amax-amin<=k.,"removals([1, 3, 4, 9, 10,11, 12, 17, 20], 9, 4) = 5","removals([1, 5, 6, 2, 8], 5, 2) = 3","removals([1, 2, 3 ,4, 5, 6], 6, 3) = 2"
Write a function to check whether the given key is present in the dictionary or not.,"is_key_present({1: 10, 2: 20, 3: 30, 4: 40, 5: 50, 6: 60},5)=True","is_key_present({1: 10, 2: 20, 3: 30, 4: 40, 5: 50, 6: 60},6)=True","is_key_present({1: 10, 2: 20, 3: 30, 4: 40, 5: 50, 6: 60},10)=False"
Write a function to calculate the harmonic sum of n-1.,harmonic_sum(10)=2.9289682539682538,harmonic_sum(4)=2.083333333333333,harmonic_sum(7)=2.5928571428571425 
Write a function to sort a list of lists by length and value.,"sort_sublists([[2], [0], [1, 3], [0, 7], [9, 11], [13, 15, 17]])=[[0], [2], [0, 7], [1, 3], [9, 11], [13, 15, 17]]","sort_sublists([[1], [2, 3], [4, 5, 6], [7], [10, 11]])=[[1], [7], [2, 3], [10, 11], [4, 5, 6]]","sort_sublists([[""python""],[""java"",""C"",""C++""],[""DBMS""],[""SQL"",""HTML""]])=[['DBMS'], ['python'], ['SQL', 'HTML'], ['java', 'C', 'C++']]"
Write a function to find whether an array is subset of another array.,"is_subset([11, 1, 13, 21, 3, 7], 6, [11, 3, 7, 1], 4) = True","is_subset([1, 2, 3, 4, 5, 6], 6, [1, 2, 4], 3) = True","is_subset([10, 5, 2, 23, 19], 5, [19, 5, 3], 3) = False"
Write a Coq function to count the total set bits from 1 to n.,count_Set_Bits(16) = 33,count_Set_Bits(2) = 2,count_Set_Bits(14) = 28
Write a Coq function to convert a string to a list.,"Convert('python program') = ['python','program']","Convert('Data Analysis') =['Data','Analysis']","Convert('Hadoop Training') = ['Hadoop','Training']"
